Check ID,Severity,File,Line,Message
html.security.audit.missing-integrity.missing-integrity,WARNING,docs/index.html,7,"This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) you’re telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/_core/_eventloop.py,200,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.django.security.audit.query-set-extra.avoid-query-set-extra,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/streams/tls.py,254,"QuerySet.extra' does not provide safeguards against SQL injection and requires very careful use. SQL injection can lead to critical data being stolen by attackers. Instead of using '.extra', use the Django ORM and parameterized queries such as `People.objects.get(name='Bob')`."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_interpreter.py,121,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_interpreter.py,130,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,94,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,103,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,167,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,218,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,248,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,251,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.deserialization.pickle.avoid-pickle,WARNING,semgrep-env/lib/python3.12/site-packages/anyio/to_process.py,255,"Avoid using `pickle`, which is known to lead to code execution vulnerabilities. When unpickling, the serialized data could be manipulated to run arbitrary code. Instead, consider serializing the relevant data as JSON or a similar text-based serialization format."
python.lang.security.audit.eval-detected.eval-detected,WARNING,semgrep-env/lib/python3.12/site-packages/attr/_make.py,227,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.security.audit.dangerous-annotations-usage.dangerous-annotations-usage,INFO,semgrep-env/lib/python3.12/site-packages/attr/_make.py,3140,Annotations passed to `typing.get_type_hints` are evaluated in `globals` and `locals` namespaces. Make sure that no arbitrary value can be written as the annotation and passed to `typing.get_type_hints` function.
python.lang.security.audit.dangerous-annotations-usage.dangerous-annotations-usage,INFO,semgrep-env/lib/python3.12/site-packages/attr/_make.py,3393,Annotations passed to `typing.get_type_hints` are evaluated in `globals` and `locals` namespaces. Make sure that no arbitrary value can be written as the annotation and passed to `typing.get_type_hints` function.
python.lang.security.audit.dangerous-annotations-usage.dangerous-annotations-usage,INFO,semgrep-env/lib/python3.12/site-packages/attr/_make.py,3402,Annotations passed to `typing.get_type_hints` are evaluated in `globals` and `locals` namespaces. Make sure that no arbitrary value can be written as the annotation and passed to `typing.get_type_hints` function.
python.lang.security.audit.dangerous-annotations-usage.dangerous-annotations-usage,INFO,semgrep-env/lib/python3.12/site-packages/attr/converters.py,54,Annotations passed to `typing.get_type_hints` are evaluated in `globals` and `locals` namespaces. Make sure that no arbitrary value can be written as the annotation and passed to `typing.get_type_hints` function.
python.lang.security.audit.dangerous-annotations-usage.dangerous-annotations-usage,INFO,semgrep-env/lib/python3.12/site-packages/attr/converters.py,58,Annotations passed to `typing.get_type_hints` are evaluated in `globals` and `locals` namespaces. Make sure that no arbitrary value can be written as the annotation and passed to `typing.get_type_hints` function.
python.lang.security.audit.exec-detected.exec-detected,WARNING,semgrep-env/lib/python3.12/site-packages/boltons/funcutils.py,1035,"Detected the use of exec(). exec() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.security.audit.exec-detected.exec-detected,WARNING,semgrep-env/lib/python3.12/site-packages/boltons/namedutils.py,68,"Detected the use of exec(). exec() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.compatibility.python37.python37-compatibility-importlib2,ERROR,semgrep-env/lib/python3.12/site-packages/certifi/core.py,16,"Found 'importlib.resources', which is a module only available on Python 3.7+. This does not work in lower versions, and therefore is not backwards compatible. Use importlib_resources instead for older Python versions."
python.lang.compatibility.python37.python37-compatibility-importlib2,ERROR,semgrep-env/lib/python3.12/site-packages/certifi/core.py,51,"Found 'importlib.resources', which is a module only available on Python 3.7+. This does not work in lower versions, and therefore is not backwards compatible. Use importlib_resources instead for older Python versions."
python.lang.security.dangerous-globals-use.dangerous-globals-use,WARNING,semgrep-env/lib/python3.12/site-packages/cffi/cffi_opcode.py,180,Found non static data as an index to 'globals()'. This is extremely dangerous because it allows an attacker to execute arbitrary code on the system. Refactor your code not to use 'globals()'.
python.lang.security.audit.eval-detected.eval-detected,WARNING,semgrep-env/lib/python3.12/site-packages/cffi/recompiler.py,78,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.security.audit.exec-detected.exec-detected,WARNING,semgrep-env/lib/python3.12/site-packages/cffi/setuptools_ext.py,26,"Detected the use of exec(). exec() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/charset_normalizer/cd.py,38,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/charset_normalizer/utils.py,281,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/charset_normalizer/utils.py,329,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/charset_normalizer/utils.py,330,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.lang.compatibility.python36.python36-compatibility-Popen1,ERROR,semgrep-env/lib/python3.12/site-packages/click/_termui_impl.py,427,the `errors` argument to Popen is only available on Python 3.6+
python.lang.security.audit.subprocess-shell-true.subprocess-shell-true,ERROR,semgrep-env/lib/python3.12/site-packages/click/_termui_impl.py,429,"Found 'subprocess' function 'Popen' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead."
python.lang.security.audit.subprocess-shell-true.subprocess-shell-true,ERROR,semgrep-env/lib/python3.12/site-packages/click/_termui_impl.py,552,"Found 'subprocess' function 'Popen' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead."
python.cryptography.security.insecure-hash-algorithms-md5.insecure-hash-algorithm-md5,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/hazmat/_oid.py,128,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.cryptography.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/hazmat/_oid.py,129,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.cryptography.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/hazmat/_oid.py,130,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.cryptography.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/hazmat/_oid.py,139,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.cryptography.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/hazmat/_oid.py,148,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.cryptography.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/ssh.py,1007,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/cryptography/x509/extensions.py,72,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/face/sinter.py,136,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.lang.security.audit.exec-detected.exec-detected,WARNING,semgrep-env/lib/python3.12/site-packages/face/sinter.py,142,"Detected the use of exec(). exec() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.security.audit.exec-detected.exec-detected,WARNING,semgrep-env/lib/python3.12/site-packages/glom/cli.py,239,"Detected the use of exec(). exec() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/google/protobuf/internal/api_implementation.py,43,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/google/protobuf/proto_builder.py,68,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.lang.security.dangerous-globals-use.dangerous-globals-use,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/__init__.py,141,Found non static data as an index to 'globals()'. This is extremely dangerous because it allows an attacker to execute arbitrary code on the system. Refactor your code not to use 'globals()'.
python.flask.security.audit.directly-returned-format-string.directly-returned-format-string,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_async/connection_pool.py,386,Detected Flask route directly returning a formatted string. This is subject to cross-site scripting if user input can reach the string. Consider using the template engine instead and rendering pages with 'render_template()'.
python.django.security.audit.query-set-extra.avoid-query-set-extra,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_backends/anyio.py,84,"QuerySet.extra' does not provide safeguards against SQL injection and requires very careful use. SQL injection can lead to critical data being stolen by attackers. Instead of using '.extra', use the Django ORM and parameterized queries such as `People.objects.get(name='Bob')`."
python.django.security.audit.query-set-extra.avoid-query-set-extra,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_backends/anyio.py,86,"QuerySet.extra' does not provide safeguards against SQL injection and requires very careful use. SQL injection can lead to critical data being stolen by attackers. Instead of using '.extra', use the Django ORM and parameterized queries such as `People.objects.get(name='Bob')`."
python.django.security.audit.query-set-extra.avoid-query-set-extra,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_backends/anyio.py,88,"QuerySet.extra' does not provide safeguards against SQL injection and requires very careful use. SQL injection can lead to critical data being stolen by attackers. Instead of using '.extra', use the Django ORM and parameterized queries such as `People.objects.get(name='Bob')`."
python.django.security.audit.query-set-extra.avoid-query-set-extra,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_backends/anyio.py,90,"QuerySet.extra' does not provide safeguards against SQL injection and requires very careful use. SQL injection can lead to critical data being stolen by attackers. Instead of using '.extra', use the Django ORM and parameterized queries such as `People.objects.get(name='Bob')`."
python.django.security.audit.query-set-extra.avoid-query-set-extra,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_backends/anyio.py,92,"QuerySet.extra' does not provide safeguards against SQL injection and requires very careful use. SQL injection can lead to critical data being stolen by attackers. Instead of using '.extra', use the Django ORM and parameterized queries such as `People.objects.get(name='Bob')`."
python.flask.security.audit.directly-returned-format-string.directly-returned-format-string,WARNING,semgrep-env/lib/python3.12/site-packages/httpcore/_sync/connection_pool.py,386,Detected Flask route directly returning a formatted string. This is subject to cross-site scripting if user input can reach the string. Consider using the template engine instead and rendering pages with 'render_template()'.
python.lang.security.dangerous-globals-use.dangerous-globals-use,WARNING,semgrep-env/lib/python3.12/site-packages/httpx/__init__.py,105,Found non static data as an index to 'globals()'. This is extremely dangerous because it allows an attacker to execute arbitrary code on the system. Refactor your code not to use 'globals()'.
python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1,WARNING,semgrep-env/lib/python3.12/site-packages/httpx/_auth.py,309,Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/importlib_metadata/__init__.py,221,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
python.lang.security.audit.dynamic-urllib-use-detected.dynamic-urllib-use-detected,WARNING,semgrep-env/lib/python3.12/site-packages/jsonschema/validators.py,113,"Detected a dynamic value being used with urllib. urllib supports 'file://' schemes, so a dynamic value controlled by a malicious actor may allow them to read arbitrary files. Audit uses of urllib calls to ensure user data cannot control the URLs, or consider using the 'requests' library instead."
python.lang.security.audit.dynamic-urllib-use-detected.dynamic-urllib-use-detected,WARNING,semgrep-env/lib/python3.12/site-packages/jsonschema/validators.py,1228,"Detected a dynamic value being used with urllib. urllib supports 'file://' schemes, so a dynamic value controlled by a malicious actor may allow them to read arbitrary files. Audit uses of urllib calls to ensure user data cannot control the URLs, or consider using the 'requests' library instead."
python.lang.compatibility.python37.python37-compatibility-importlib2,ERROR,semgrep-env/lib/python3.12/site-packages/jsonschema_specifications/_core.py,8,"Found 'importlib.resources', which is a module only available on Python 3.7+. This does not work in lower versions, and therefore is not backwards compatible. Use importlib_resources instead for older Python versions."
python.lang.security.audit.dynamic-urllib-use-detected.dynamic-urllib-use-detected,WARNING,semgrep-env/lib/python3.12/site-packages/jwt/jwks_client.py,108,"Detected a dynamic value being used with urllib. urllib supports 'file://' schemes, so a dynamic value controlled by a malicious actor may allow them to read arbitrary files. Audit uses of urllib calls to ensure user data cannot control the URLs, or consider using the 'requests' library instead."
python.lang.security.audit.subprocess-shell-true.subprocess-shell-true,ERROR,semgrep-env/lib/python3.12/site-packages/mcp/cli/cli.py,48,"Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead."
python.lang.security.audit.non-literal-import.non-literal-import,WARNING,semgrep-env/lib/python3.12/site-packages/mcp/cli/cli.py,186,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code. Avoid dynamic values in `importlib.import_module()` or use a whitelist to prevent running untrusted code.
